id,docente_id,asignatura_codigo,ciclo_academico,grupo,aula,dias_clase,hora_inicio,hora_fin,cupo,inscritos,estado
1,1,CC101,2024-I,A,A-101,"LUN,MIE,VIE",08:00,09:30,40,38,ACTIVO
2,2,CC102,2024-I,B,A-102,"LUN,MIE,VIE",10:00,11:30,40,35,ACTIVO
3,3,CC201,2024-I,A,A-201,"MAR,JUE,VIE",08:00,09:30,35,32,ACTIVO
4,4,CC202,2024-I,B,A-202,"MAR,JUE,VIE",10:00,11:30,35,30,ACTIVO
5,5,CC203,2024-I,A,A-203,"LUN,MIE,VIE",14:00,15:30,35,31,ACTIVO
6,6,CC301,2024-I,B,A-204,"LUN,MIE,VIE",16:00,17:30,35,29,ACTIVO
7,7,CC302,2024-I,A,A-205,"MAR,JUE,VIE",14:00,15:30,35,33,ACTIVO
8,8,CC303,2024-I,B,A-206,"MAR,JUE,VIE",16:00,17:30,30,28,ACTIVO
9,9,CC304,2024-I,A,A-207,"LUN,MIE,VIE",18:00,19:30,30,27,ACTIVO
10,10,CC305,2024-I,B,A-208,"LUN,MIE,VIE",20:00,21:30,30,26,ACTIVO
11,11,CC306,2024-I,A,A-209,"MAR,JUE,VIE",18:00,19:30,30,25,ACTIVO
12,12,CC307,2024-I,B,A-210,"MAR,JUE,VIE",20:00,21:30,25,23,ACTIVO
13,13,CC401,2024-I,A,A-301,"LUN,MIE,VIE",08:00,09:30,25,22,ACTIVO
14,14,CC402,2024-I,B,A-302,"LUN,MIE,VIE",10:00,11:30,25,21,ACTIVO
15,15,CC403,2024-I,A,A-303,"MAR,JUE,VIE",08:00,09:30,25,20,ACTIVO
16,1,CC404,2024-I,B,A-304,"MAR,JUE,VIE",10:00,11:30,25,19,ACTIVO
17,2,CC405,2024-I,A,A-305,"LUN,MIE,VIE",14:00,15:30,25,18,ACTIVO
18,3,CC406,2024-I,B,A-306,"LUN,MIE,VIE",16:00,17:30,20,17,ACTIVO
19,4,CC407,2024-I,A,A-307,"MAR,JUE,VIE",14:00,15:30,20,16,ACTIVO
20,5,CC408,2024-I,B,A-308,"MAR,JUE,VIE",16:00,17:30,20,15,ACTIVO
21,6,CC409,2024-I,A,A-309,"LUN,MIE,VIE",18:00,19:30,20,14,ACTIVO
22,7,CC410,2024-I,B,A-310,"LUN,MIE,VIE",20:00,21:30,20,13,ACTIVO
23,8,CC501,2024-I,A,A-401,"MAR,JUE,VIE",18:00,19:30,15,12,ACTIVO
24,9,CC502,2024-I,B,A-402,"MAR,JUE,VIE",20:00,21:30,15,11,ACTIVO
25,10,CC503,2024-I,A,A-403,"LUN,MIE,VIE",08:00,09:30,15,10,ACTIVO
26,11,CC504,2024-I,B,A-404,"LUN,MIE,VIE",10:00,11:30,15,9,ACTIVO
27,12,CC505,2024-I,A,A-405,"MAR,JUE,VIE",08:00,09:30,15,8,ACTIVO
28,13,CC506,2024-I,B,A-406,"MAR,JUE,VIE",10:00,11:30,10,7,ACTIVO
29,14,CC507,2024-I,A,A-407,"LUN,MIE,VIE",14:00,15:30,10,6,ACTIVO
30,15,CC508,2024-I,B,A-408,"LUN,MIE,VIE",16:00,17:30,10,5,ACTIVO
31,1,IS101,2024-I,A,A-501,"MAR,JUE,VIE",14:00,15:30,40,38,ACTIVO
32,2,IS201,2024-I,B,A-502,"MAR,JUE,VIE",16:00,17:30,40,35,ACTIVO
33,3,IS202,2024-I,A,A-503,"LUN,MIE,VIE",18:00,19:30,40,32,ACTIVO
34,4,IS301,2024-I,B,A-504,"LUN,MIE,VIE",20:00,21:30,35,30,ACTIVO
35,5,IS302,2024-I,A,A-505,"MAR,JUE,VIE",18:00,19:30,35,29,ACTIVO
36,6,CI101,2024-I,B,A-506,"MAR,JUE,VIE",20:00,21:30,35,28,ACTIVO
37,7,CI201,2024-I,A,A-507,"LUN,MIE,VIE",08:00,09:30,30,27,ACTIVO
38,8,CI202,2024-I,B,A-508,"LUN,MIE,VIE",10:00,11:30,30,26,ACTIVO
39,9,CI301,2024-I,A,A-509,"MAR,JUE,VIE",08:00,09:30,30,25,ACTIVO
40,10,CI302,2024-I,B,A-510,"MAR,JUE,VIE",10:00,11:30,25,24,ACTIVO
41,11,AD101,2024-I,A,A-511,"LUN,MIE,VIE",14:00,15:30,25,23,ACTIVO
42,12,AD201,2024-I,B,A-512,"LUN,MIE,VIE",16:00,17:30,25,22,ACTIVO
43,13,AD202,2024-I,A,A-513,"MAR,JUE,VIE",14:00,15:30,20,21,ACTIVO
44,14,AD301,2024-I,B,A-514,"MAR,JUE,VIE",16:00,17:30,20,20,ACTIVO
45,15,AD302,2024-I,A,A-515,"LUN,MIE,VIE",18:00,19:30,20,19,ACTIVO
46,1,ME101,2024-I,B,A-601,"LUN,MIE,VIE",20:00,21:30,15,18,ACTIVO
47,2,ME102,2024-I,A,A-602,"MAR,JUE,VIE",18:00,19:30,15,17,ACTIVO
48,3,ME103,2024-I,B,A-603,"MAR,JUE,VIE",20:00,21:30,15,16,ACTIVO
49,4,ME201,2024-I,A,A-604,"LUN,MIE,VIE",08:00,09:30,15,15,ACTIVO
50,5,ME202,2024-I,B,A-605,"LUN,MIE,VIE",10:00,11:30,15,14,ACTIVO
51,6,EN101,2024-I,A,A-606,"MAR,JUE,VIE",08:00,09:30,15,13,ACTIVO
52,7,EN102,2024-I,B,A-607,"MAR,JUE,VIE",10:00,11:30,15,12,ACTIVO
53,8,EN201,2024-I,A,A-608,"LUN,MIE,VIE",14:00,15:30,15,11,ACTIVO
54,9,EN202,2024-I,B,A-609,"LUN,MIE,VIE",16:00,17:30,15,10,ACTIVO
55,10,EN203,2024-I,A,A-610,"MAR,JUE,VIE",14:00,15:30,15,9,ACTIVO
56,11,AR101,2024-I,B,A-701,"MAR,JUE,VIE",16:00,17:30,10,8,ACTIVO
57,12,AR102,2024-I,A,A-702,"LUN,MIE,VIE",18:00,19:30,10,7,ACTIVO
